NAME,NTEE1,"Full Address",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"DAVID LAMM FOUNDATION INC",T,"5430 WHITNEY ST JACKSONVILLE, FL 32277",30.369319,-81.609695,1,rooftop,5430,"Whitney St",,,Jacksonville,FL,"Duval County",32277,US,Duval
"SAN MARCO MERCHANTS ASSOCIATION INC",S,"1971 SAN MARCO BLVD JACKSONVILLE, FL 32207",30.304603,-81.654791,1,rooftop,1971,"San Marco Blvd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"POTTERS HOUSE COMMUNITY DEVELOPMENT",S,"5119 NORMANDY BLVD JACKSONVILLE, FL 32205",30.309396,-81.733861,1,rooftop,5119,"Normandy Blvd",,,Jacksonville,FL,"Duval County",32205,US,Duval
"GEORGE M BALDWIN FOUNDATION",T,"200 W FORSYTH ST STE 1300 JACKSONVILLE, FL 32202",30.327316,-81.660871,1,rooftop,200,"Forsyth St W",Ste,1300,Jacksonville,FL,"Duval County",32202,US,Duval
"OPPORTUNITY DEVELOPMENT PROPERTIES INC",S,"2709 ART MUSEUM DR JACKSONVILLE, FL 32207",30.298672,-81.612647,1,rooftop,2709,"Art Museum Dr",,,Jacksonville,FL,"Duval County",32207,US,Duval
"FLORIDA ALLIANCE FOR COMMUNITY SOLUTIONS INC",S,"126 W ADAMS ST STE 601 JACKSONVILLE, FL 32202",30.328112,-81.659754,1,rooftop,126,"Adams St W",Ste,601,Jacksonville,FL,"Duval County",32202,US,Duval
"SONS OF ITALY IN AMERICA",Y,"7 BURLING WAY JAX BCH, FL 32250",30.269928,-81.392963,1,rooftop,7,"Burling Way",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"NATIONAL INSTITUTE OF GOVERNMENTAL PURCHASING INC",S,"463688 STATE ROAD 200 YULEE, FL 32097",30.628009,-81.557546,1,rooftop,463688,"State Road 200",,,Yulee,FL,"Nassau County",32097,US,Statewide2
"WOUNDED WARRIOR PROJECT INC",W,"4899 BELFORT RD STE 300 JACKSONVILLE, FL 32256",30.248571,-81.583571,1,rooftop,4899,"Belfort Rd",Ste,300,Jacksonville,FL,"Duval County",32256,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"9159 STARPASS DR JACKSONVILLE, FL 32256",30.196904,-81.536642,1,rooftop,9159,"Starpass Dr",,,Jacksonville,FL,"Duval County",32256,US,Duval
"PHILIOS FOUNDATION INC",T,"10175 FORTUNE PKWY UNIT 405 JACKSONVILLE, FL 32256",30.185532,-81.548008,1,rooftop,10175,"Fortune Pkwy",Unit,405,Jacksonville,FL,"Duval County",32256,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"76 SOUTH LARUA STREET JACKSONVILLE, FL 32202",30.325847,-81.660012,1,rooftop,76,"Laura St S",,,Jacksonville,FL,"Duval County",32202,US,Duval
"STAR-LITE COMMUNITY DEVELOPMENT",S,"4256 APOLLO AVE JACKSONVILLE, FL 32226",30.396684,-81.553605,1,rooftop,4256,"Apollo Ave",,,Jacksonville,FL,"Duval County",32226,US,Duval
"STELLAR FOUNDATION INC",T,"2900 HARTLEY RD JACKSONVILLE, FL 32257",30.184119,-81.632044,1,rooftop,2900,"Hartley Rd",,,Jacksonville,FL,"Duval County",32257,US,Duval
"TEMPLE OF LIGHT FELLOWSHIP INC",W,"8959 SPRING HARVEST LN W JACKSONVILLE, FL 32244",30.198763,-81.804444,1,rooftop,8959,"Spring Harvest Ln W",,,Jacksonville,FL,"Duval County",32244,US,Duval
"COMBINED GOSPEL FELLOWSHIP",S,"1931 BLANDING BLVD JACKSONVILLE, FL 32210",30.282629,-81.725482,1,rooftop,1931,"Blanding Blvd",,,Jacksonville,FL,"Duval County",32210,US,Duval
"R FOSTER FOUNDATION INC",T,"13901 SUTTON PARK DRIVE S STE 130 JACKSONVILLE, FL 32224",30.259999,-81.46224,1,rooftop,13901,"Sutton Park Dr S",Ste,130,Jacksonville,FL,"Duval County",32224,US,Duval
"BLUECLAWS BASEBALL FOUNDATION INC",T,"10681 PHILIPS HWY JACKSONVILLE, FL 32256",30.175667,-81.54736,1,rooftop,10681,"Philips Hwy",,,Jacksonville,FL,"Duval County",32256,US,Duval
"CHUPP FAMILY FOUNDATION",T,"PO BOX 40606 JACKSONVILLE, FL 32203",30.389438,-81.680806,0.5,place,40606,"PO Box",,,Jacksonville,FL,"Duval County",32203,US,"TIGER/Line® dataset from the US Census Bureau"
"HEALTHY JACKSONVILLE MENS HEALTH COALITION INC",S,"9132 PAISLEY CT JACKSONVILLE, FL 32257",30.212502,-81.604939,1,rooftop,9132,"Paisley Ct",,,Jacksonville,FL,"Duval County",32257,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"7602 KENYA ST JACKSONVILLE, FL 32208",30.390421,-81.666839,1,rooftop,7602,"Kenya St",,,Jacksonville,FL,"Duval County",32208,US,Duval
"PINK LADY CHARITY INCORPORATED",T,"221 N HOGAN ST JACKSONVILLE, FL 32202",30.328615,-81.659861,1,rooftop,221,"Hogan St N",,,Jacksonville,FL,"Duval County",32202,US,Duval
"FIRST COAST BUSINESS LEADERSHIP NETWORK INC",W,"74 EVANS DR JAX BCH, FL 32250",30.271153,-81.406538,1,rooftop,74,"Evans Dr",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"TIMOTHY JAMES SEAMANS MEMORIALFOUNDATION INC",W,"7130 OAKWOOD DR JACKSONVILLE, FL 32211",30.319242,-81.583815,1,rooftop,7130,"Oakwood Dr",,,Jacksonville,FL,"Duval County",32211,US,Duval
"MARKETPLACE LEADERSHIPINTERNATIONAL INCORPORATED",W,"8862 CANOPY OAKS DR JACKSONVILLE, FL 32256",30.20707,-81.516727,1,rooftop,8862,"Canopy Oaks Dr",,,Jacksonville,FL,"Duval County",32256,US,Duval
"FAMILY LIFE CENTER ECONOMICDEVELOPMENT CORPORATION",S,"4058 ST AUGUSTINE RD JACKSONVILLE, FL 32207",30.27911,-81.643987,1,rooftop,4058,"St Augustine Rd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"CONCORDE GROUP FOUNDATION",T,"7449 NORMANDY BLVD SUITE 121-308 JACKSONVILLE, FL 32221",30.297473,-81.771476,0.97,range_interpolation,7449,"Normandy Blvd",Ste,121-308,Jacksonville,FL,"Duval County",32205,US,"TIGER/Line® dataset from the US Census Bureau"
"HARDEN & ASSOCIATES FOUNDATION TR",T,"501 RIVERSIDE AVE STE 1000 JACKSONVILLE, FL 32202",30.320501,-81.674247,1,rooftop,501,"Riverside Ave",Ste,1000,Jacksonville,FL,"Duval County",32202,US,Duval
"GATEWAY COMMUNITY FOUNDATION INC",T,"555 STOCKTON ST JACKSONVILLE, FL 32204",30.321973,-81.690037,1,rooftop,555,"Stockton St",,,Jacksonville,FL,"Duval County",32204,US,Duval
"FIRST COAST COMMERCIAL REAL ESTATEAND ECONOMIC OUTLOOK CONFERENCE INC",S,"7801 DEERCREEK CLUB RD JACKSONVILLE, FL 32256",30.1916,-81.550774,1,rooftop,7801,"Deercreek Club Rd",,,Jacksonville,FL,"Duval County",32256,US,Duval
"HARVEY BERNHARDT FOUNDATION INC",T,"10208 DEERWOOD CLUB RD JACKSONVILLE, FL 32256",30.233277,-81.547277,1,rooftop,10208,"Deerwood Club Rd",,,Jacksonville,FL,"Duval County",32256,US,Duval
"THE SHANNON MILLER FOUNDATION INC",T,"4593 ORTEGA BLVD JACKSONVILLE, FL 32210",30.267411,-81.700751,1,rooftop,4593,"Ortega Blvd",,,Jacksonville,FL,"Duval County",32210,US,Duval
"FLORIDAS 1ST COAST AREA COUNCIL OFTHE AMERICAN BUSINESS WOMENS ASSOC",S,"11918 HUGE EVERGREEN CT JACKSONVILLE, FL 32223",30.153806,-81.627738,1,rooftop,11918,"Huge Evergreen Ct",,,Jacksonville,FL,"Duval County",32223,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"7301 BAYMEADOWS WAY FLOOR 2 JACKSONVILLE, FL 32256",30.239491,-81.586062,1,rooftop,7301,"Baymeadows Way",Fl,2,Jacksonville,FL,"Duval County",32256,US,Duval
"ONEILL FAMILY CHARITABLE FOUNDATION INC",T,"4655 SALISBURY RD STE 100 JACKSONVILLE, FL 32256",30.250683,-81.58787,1,rooftop,4655,"Salisbury Rd",Ste,100,Jacksonville,FL,"Duval County",32256,US,Duval
"I58 PROJECTS INC",S,"PO BOX 50032 JAX BCH, FL 32240",30.34494,-81.683107,0.5,place,50032,"PO Box",,,"Jacksonville Beach",FL,"Duval County",32240,US,"TIGER/Line® dataset from the US Census Bureau"
"SONS OF ITALY IN AMERICA",Y,"12640 SHOAL CREEK LN N JACKSONVILLE, FL 32225",30.377667,-81.492511,1,rooftop,12640,"Shoal Creek Ln N",,,Jacksonville,FL,"Duval County",32225,US,Duval
"RIVER BRANCH FOUNDATION",T,"830 A1A N STE 13 # 132 PONTE VEDRA, FL 32082",30.227465,-81.380082,0.4,place,,,,,"Ponte Vedra",FL,"St. Johns County",32082,US,"TIGER/Line® dataset from the US Census Bureau"
"DESHPANDE FAM FOUNDATION",T,"PO BOX 43250 JACKSONVILLE, FL 32203",30.389438,-81.680806,0.5,place,43250,"PO Box",,,Jacksonville,FL,"Duval County",32203,US,"TIGER/Line® dataset from the US Census Bureau"
"HANNA FOUNDATION",T,"1311 HERITAGE MANOR DR UNIT 502 JACKSONVILLE, FL 32207",30.265002,-81.650201,1,rooftop,1311,"Heritage Manor Dr",Unit,502,Jacksonville,FL,"Duval County",32207,US,Duval
"CHARLES O & RENA BARBER SELDERS FOUNDATION % TRUST DEPT",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"SHRINERS INTERNATIONAL",Y,"3800 SAINT JOHNS BLUFF RD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"PONCE DE LEON ASSEMBLY",Y,"1773 BLANDING BLVD JACKSONVILLE, FL 32210",30.286176,-81.723415,1,rooftop,1773,"Blanding Blvd",,,Jacksonville,FL,"Duval County",32210,US,Duval
"MARINE CORPS LEAGUE",W,"PO BOX 331914 ATLANTIC BCH, FL 32233",30.33441,-81.3987,0.5,place,331914,"PO Box",,,"Atlantic Beach",FL,"Duval County",32233,US,"TIGER/Line® dataset from the US Census Bureau"
"ROTARY INTERNATIONAL",S,"PO BOX 281351 JACKSONVILLE, FL 32211",30.347139,-81.581959,0.5,place,281351,"PO Box",,,Jacksonville,FL,"Duval County",32211,US,"TIGER/Line® dataset from the US Census Bureau"
"VOITURE 215 LA SOCIETE DES QUARANTE HOMMES ET HUIT CHEVAUX",W,"1151 4TH ST S JAX BCH, FL 32250",30.277095,-81.390573,1,rooftop,1151,"4th St S",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"KNIGHTS OF COLUMBUS",Y,"2403 ATLANTIC BLVD JACKSONVILLE, FL 32207",30.308055,-81.641117,1,rooftop,2403,"Atlantic Blvd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"NAVY WIVES CLUB OF AMERICA",W,"PO BOX 105 JACKSONVILLE, FL 32212",30.389438,-81.680806,0.5,place,105,"PO Box",,,Jacksonville,FL,"Duval County",32212,US,"TIGER/Line® dataset from the US Census Bureau"
"FREE & ACCEPTED MASONS OF FLORIDA",Y,"2130 FLORIDA BLVD NEPTUNE BEACH, FL 32266",30.322574,-81.418293,1,rooftop,2130,"Florida Blvd",,,"Neptune Beach",FL,"Duval County",32266,US,Duval
"ROYAL ORDER OF JESTERS 0090",Y,"6750 EPPING FOREST WAY N APT 106 JACKSONVILLE, FL 32217",30.249064,-81.641418,1,rooftop,6750,"Epping Forest Way N",Apt,106,Jacksonville,FL,"Duval County",32217,US,Duval
"JACKSONVILLE CHAPTER 305 WOMEN OF THE MOOSE",S,"3834 SOUTHSIDE BLVD JACKSONVILLE, FL 32216",30.277167,-81.559746,1,rooftop,3834,"Southside Blvd",,,Jacksonville,FL,"Duval County",32216,US,Duval
"AMERICAN LEGION AUXILIARY",W,"PO BOX 10531 JACKSONVILLE, FL 32247",30.389438,-81.680806,0.5,place,10531,"PO Box",,,Jacksonville,FL,"Duval County",32247,US,"TIGER/Line® dataset from the US Census Bureau"
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"COLONY COVE CIVIC ASSOCIATION INC",S,"PO BOX 11405 JACKSONVILLE, FL 32239",30.389438,-81.680806,0.5,place,11405,"PO Box",,,Jacksonville,FL,"Duval County",32239,US,"TIGER/Line® dataset from the US Census Bureau"
"NATIONAL SOCIETY OF SOUTHERN DAMES OF AMERICA INC",S,"11527 PELHAM CT JACKSONVILLE, FL 32223",30.164976,-81.63583,1,rooftop,11527,"Pelham Ct",,,Jacksonville,FL,"Duval County",32223,US,Duval
"FLORIDA AIR NATIONAL GUARD CHAPEL INC",W,"HEADQUARTERS 125TH FIGHTER INTERCEP JACKSONVILLE, FL 32229",30.34494,-81.683107,1,place,,,,,Jacksonville,FL,"Duval County",32229,US,"TIGER/Line® dataset from the US Census Bureau"
"JACKSONVILLE FREE GOSPEL FELLOWSHIP INC",S,"2323 EDGEWOOD AVE N JACKSONVILLE, FL 32254",30.35277,-81.730808,1,rooftop,2323,"Edgewood Ave N",,,Jacksonville,FL,"Duval County",32254,US,Duval
"WEST JAX FLEET RESERVE HALL INC",W,"76736 BLANDING BLVD JACKSONVILLE, FL 32244",30.209918,-81.738412,0.7,street_center,,"Blanding Blvd",,,Jacksonville,FL,"Duval County",32244,US,"TIGER/Line® dataset from the US Census Bureau"
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"DISABLED AMERICAN VETERANS AUXILIARY INC",W,"8 BANTON LN PALM COAST, FL 32137",29.56511,-81.24258,1,rooftop,8,"Banton Ln",,,"Palm Coast",FL,"Flagler County",32137,US,Flagler
"SHRINERS INTERNATIONAL",Y,"3800 ST JOHNS BLUFF ROAD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"INSTITUTE OF MANAGEMENT ACCOUNTANTS INC",S,"PO BOX 1977 PONTE VEDRA, FL 32004",30.131119,-81.407584,0.4,place,1977,"PO Box",,,"Ponte Vedra",FL,"St. Johns County",32004,US,"TIGER/Line® dataset from the US Census Bureau"
"SHRINERS INTERNATIONAL",Y,"3800 SAINT JOHNS BLUFF RD S JACKSONVILLE, FL 32224",30.277278,-81.526579,1,rooftop,3800,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32224,US,Duval
"MANDARIN CHAPTER 1218",S,"4450 LOSCO RD JACKSONVILLE, FL 32257",30.170586,-81.597406,1,rooftop,4450,"Losco Rd",,,Jacksonville,FL,"Duval County",32257,US,Duval
"ROTARY INTERNATIONAL",S,"521 AIRPORT CENTER DR JACKSONVILLE, FL 32218",30.47736,-81.633971,1,rooftop,521,"Airport Center Dr",,,Jacksonville,FL,"Duval County",32218,US,Duval
"ROTARY INTERNATIONAL",S,"521 AIRPORT CENTER DR JACKSONVILLE, FL 32218",30.47736,-81.633971,1,rooftop,521,"Airport Center Dr",,,Jacksonville,FL,"Duval County",32218,US,Duval
"FLORIDA ELECTRONIC SERVICE ASSOCIATION INC",S,"1942 NIBLICK DR JACKSONVILLE, FL 32210",30.28369,-81.743783,1,rooftop,1942,"Niblick Dr",,,Jacksonville,FL,"Duval County",32210,US,Duval
"RETIRED EMPLOYEES OF THE CONSOLIDATED CITY OF JACKSONVILLE",Y,"4830 WALLER ST JACKSONVILLE, FL 32254",30.320477,-81.729329,1,rooftop,4830,"Waller St",,,Jacksonville,FL,"Duval County",32254,US,Duval
"AMERICAN SOCIETY OF INTERIOR DESIGNERS INC",S,"8815 CONROY WINDERMERE RD 274 ORLANDO, FL 32835",28.495157,-81.506407,1,rooftop,8815,"Conroy Windermere Rd",,274,Orlando,FL,"Orange County",32835,US,"Public Domain Orange County"
"TR UW BROWN ST MARY CATHOLIC CH",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"ORDER OF THE EASTERN STAR OF FLORIDA",Y,"2620 DEAN RD JACKSONVILLE, FL 32216",30.276636,-81.592765,1,rooftop,2620,"Dean Rd",,,Jacksonville,FL,"Duval County",32216,US,Duval
"ORDER OF THE EASTERN STAR OF FLORIDA",Y,"631 EGRET BLUFF LN JACKSONVILLE, FL 32211",30.324355,-81.595972,1,rooftop,631,"Egret Bluff Ln",,,Jacksonville,FL,"Duval County",32211,US,Duval
"ORDER OF THE EASTERN STAR OF FLORIDA",Y,"2511 TOWNSQUARE DR JACKSONVILLE, FL 32216",30.299739,-81.566162,1,rooftop,2511,"Townsquare Dr",,,Jacksonville,FL,"Duval County",32216,US,Duval
"ORDER OF THE EASTERN STAR OF FLORIDA",Y,"5917 OLD TIMUQUANA RD JACKSONVILLE, FL 32210",30.247564,-81.736725,1,rooftop,5917,"Old Timuquana Rd",,,Jacksonville,FL,"Duval County",32210,US,Duval
"ORDER OF THE EASTERN STAR OF FLORIDA",Y,"12136 SHOSHONE TRL JACKSONVILLE, FL 32223",30.150382,-81.621172,1,rooftop,12136,"Shoshone Trl",,,Jacksonville,FL,"Duval County",32223,US,Duval
"FREE & ACCEPTED MASONS OF FLORIDA",Y,"PO BOX 1020 JACKSONVILLE, FL 32201",30.389438,-81.680806,0.5,place,1020,"PO Box",,,Jacksonville,FL,"Duval County",32201,US,"TIGER/Line® dataset from the US Census Bureau"
"FREE & ACCEPTED MASONS OF FLORIDA",Y,"1101 S 14TH ST FERN BCH, FL 32034",30.656174,-81.45397,1,rooftop,1101,"S 14th St",,,"Fernandina Beach",FL,"Nassau County",32034,US,Nassau
"FREE & ACCEPTED MASONS OF FLORIDA",Y,"137 ROSEWOOD AVE BALDWIN, FL 32234",30.308838,-81.97403,1,rooftop,137,"Rosewood Ave",,,Jacksonville,FL,"Duval County",32234,US,Duval
"FREE & ACCEPTED MASONS OF FLORIDA",Y,"2914 LORETTO RD JACKSONVILLE, FL 32223",30.159826,-81.634716,1,rooftop,2914,"Loretto Rd",,,Jacksonville,FL,"Duval County",32223,US,Duval
"ANCIENT EGYPTIAN ARABIC ORDER NOBLES MYSTIC SHRINE OF N & S AMER",Y,"3707 N LIBERTY ST JACKSONVILLE, FL 32206",30.361125,-81.648919,1,rooftop,3707,"Liberty St N",,,Jacksonville,FL,"Duval County",32206,US,Duval
"KNIGHTS OF COLUMBUS",Y,"6030 ARLINGTON EXPY JACKSONVILLE, FL 32211",30.326969,-81.596225,1,rooftop,6030,"Arlington Expy",,,Jacksonville,FL,"Duval County",32211,US,Duval
"FRATERNAL ORDER OF POLICE",Y,"PO BOX 51140 JAX BCH, FL 32240",30.34494,-81.683107,0.5,place,51140,"PO Box",,,"Jacksonville Beach",FL,"Duval County",32240,US,"TIGER/Line® dataset from the US Census Bureau"
"WILLIAM AND HELEN TREDENNICK FOUNDATION",T,"4029 ATLANTIC BLVD JACKSONVILLE, FL 32207",30.307549,-81.623528,1,rooftop,4029,"Atlantic Blvd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"SOLDIER RIDE INC",W,"4899 BELFORT RD STE 300 JACKSONVILLE, FL 32256",30.248571,-81.583571,1,rooftop,4899,"Belfort Rd",Ste,300,Jacksonville,FL,"Duval County",32256,US,Duval
